sink=0 warnings=0
seam                   n            branchy_ns     gated_ns  gated/by
record_lower           256               29.05         6.74     4.31x
recvec_lower           256               30.99         6.69     4.63x
recvec_upper           256               30.96         6.80     4.55x
page_lower             256               31.47         6.35     4.96x
page_upper             256               29.00         6.46     4.49x
record_lower           4096              48.43        13.20     3.67x
recvec_lower           4096              51.52        13.14     3.92x
recvec_upper           4096              52.15        13.23     3.94x
page_lower             4096              51.05        11.21     4.56x
page_upper             4096              46.65        11.26     4.14x
record_lower           65535             81.19        29.12     2.79x
recvec_lower           65535             85.04        28.97     2.94x
recvec_upper           65535             84.86        29.00     2.93x
page_lower             65535             80.33        23.39     3.43x
page_upper             65535             75.41        23.48     3.21x
record_lower           262144           110.76        53.49     2.07x
recvec_lower           262144           113.70        53.08     2.14x
recvec_upper           262144           114.66        52.66     2.18x
page_lower             262144           107.72        46.10     2.34x
page_upper             262144           102.05        45.76     2.23x
record_lower           262145           106.98       107.71     0.99x
recvec_lower           262145           111.32       114.59     0.97x
recvec_upper           262145           110.83       115.43     0.96x
page_lower             262145           108.41       104.59     1.04x
page_upper             262145           102.42       105.71     0.97x
record_lower           1048576          175.20       175.46     1.00x
recvec_lower           1048576          178.77       177.57     1.01x
recvec_upper           1048576          179.54       177.75     1.01x
page_lower             1048576          138.67       135.00     1.03x
page_upper             1048576          135.98       136.09     1.00x
record_lower           2097152          286.42       287.62     1.00x
recvec_lower           2097152          284.46       288.61     0.99x
recvec_upper           2097152          286.62       285.94     1.00x
page_lower             2097152          195.66       189.73     1.03x
page_upper             2097152          187.91       194.96     0.96x
record_lower           8388608          430.18       428.06     1.00x
recvec_lower           8388608          433.52       438.00     0.99x
recvec_upper           8388608          440.87       434.43     1.01x
page_lower             8388608          373.81       371.97     1.00x
page_upper             8388608          366.23       370.77     0.99x
