WARNING: page_lower gated search 381.67 ns is >5% slower than branchy 362.03 ns at n=8388608
sink=0 warnings=1
seam                   n            branchy_ns     gated_ns  gated/by
record_lower           256               29.81         6.79     4.39x
page_lower             256               29.26         6.22     4.70x
record_lower           4096              48.45        13.22     3.66x
page_lower             4096              46.05        10.49     4.39x
record_lower           65535             81.89        29.10     2.81x
page_lower             65535             75.55        23.21     3.25x
record_lower           262144           111.50        52.40     2.13x
page_lower             262144           101.36        43.15     2.35x
record_lower           262145           107.45       108.08     0.99x
page_lower             262145           102.46       102.21     1.00x
record_lower           1048576          168.70       172.07     0.98x
page_lower             1048576          129.09       131.24     0.98x
record_lower           2097152          272.09       272.70     1.00x
page_lower             2097152          173.98       172.22     1.01x
record_lower           8388608          426.90       421.51     1.01x
page_lower             8388608          362.03       381.67     0.95x
