t_s,rss_mb,phase,tracemalloc_cur_mb,tracemalloc_peak_mb
0.000,11.27,?,0.000,0.000
0.100,22.88,ingest,0.000,0.001
0.201,28.50,ingest,0.990,0.991
0.301,33.52,ingest,1.946,1.946
0.401,40.48,ingest,2.907,2.907
0.502,46.56,ingest,3.884,3.884
0.602,56.11,ingest,4.849,4.849
0.702,64.50,ingest,5.817,5.817
0.803,65.51,ingest,6.790,6.790
0.903,71.97,ingest,7.792,7.792
1.003,76.06,ingest,8.773,8.773
1.104,80.28,ingest,9.789,9.789
1.204,96.12,ingest,10.811,10.812
1.304,110.88,ingest,11.752,11.752
1.404,111.89,ingest,12.687,12.687
1.505,112.90,ingest,13.699,13.700
1.605,113.89,ingest,14.702,14.702
1.705,123.45,ingest,15.680,15.680
1.805,127.43,ingest,16.602,16.602
1.906,147.80,ingest,17.560,17.560
2.006,140.91,ingest,18.407,18.407
2.106,141.90,ingest,19.386,19.386
2.207,142.88,ingest,20.368,20.368
2.307,146.82,ingest,21.339,21.339
2.407,173.93,ingest,22.308,22.308
2.507,177.55,ingest,23.121,23.121
2.608,204.08,ingest,24.097,24.097
2.708,205.07,ingest,24.924,24.924
2.808,206.06,ingest,25.911,25.911
2.909,207.05,ingest,26.894,26.894
3.009,208.04,ingest,27.872,27.872
3.109,209.02,ingest,28.854,28.854
3.209,234.24,ingest,29.827,29.828
3.309,235.28,ingest,30.615,30.615
3.409,252.19,ingest,31.595,31.595
3.510,253.18,ingest,32.502,32.502
3.610,254.18,ingest,33.478,33.478
3.710,255.16,ingest,34.479,34.479
3.811,256.16,ingest,35.454,35.454
3.911,273.57,ingest,36.436,36.436
4.011,274.63,ingest,37.164,37.164
4.111,275.62,ingest,38.162,38.162
4.211,276.58,ingest,39.143,39.143
4.312,277.55,ingest,40.102,40.102
4.412,278.53,ingest,41.057,41.057
4.512,303.85,ingest,42.038,42.038
4.613,290.91,ingest,42.721,42.721
4.713,291.89,ingest,43.689,43.689
4.813,340.54,ingest,44.662,44.662
4.913,341.52,ingest,45.301,45.301
5.013,342.51,ingest,46.276,46.277
5.114,343.50,ingest,47.264,47.264
5.214,365.60,ingest,48.248,48.248
5.314,366.58,ingest,48.895,48.895
5.414,367.56,ingest,49.864,49.864
5.515,368.56,ingest,50.845,50.845
5.615,369.55,ingest,51.840,51.840
5.715,370.54,ingest,52.830,52.830
5.815,371.53,ingest,53.812,53.812
5.916,393.38,ingest,54.790,54.790
6.016,394.36,ingest,55.381,55.382
6.116,395.36,ingest,56.361,56.361
6.216,396.35,ingest,57.349,57.349
6.317,397.34,ingest,58.337,58.337
6.417,398.32,ingest,59.315,59.316
6.517,431.83,ingest,60.294,60.294
6.617,421.30,ingest,61.033,61.033
6.718,422.32,ingest,62.018,62.018
6.818,423.31,ingest,63.030,63.031
6.918,456.08,ingest,64.002,64.003
7.018,457.07,ingest,64.972,64.972
7.119,458.05,ingest,65.952,65.952
7.219,505.85,ingest,66.926,66.926
7.320,480.89,ingest,67.463,67.463
7.420,481.87,ingest,68.436,68.436
7.520,482.86,ingest,69.411,69.411
7.621,483.86,ingest,70.400,70.400
7.721,484.85,ingest,71.387,71.387
7.821,485.84,ingest,72.378,72.378
7.921,486.80,ingest,73.316,73.316
8.022,487.80,ingest,74.311,74.311
8.122,488.80,ingest,75.305,75.305
8.222,489.79,ingest,76.289,76.289
8.323,490.78,ingest,77.276,77.276
8.423,493.43,ingest,78.259,78.259
8.523,512.61,ingest,79.228,79.228
8.623,513.60,ingest,80.097,80.097
8.724,514.60,ingest,81.090,81.090
8.824,515.57,ingest,82.070,82.070
8.924,516.54,ingest,83.039,83.039
9.024,517.55,ingest,84.004,84.004
9.125,542.84,ingest,85.010,85.010
9.225,543.86,ingest,85.833,85.833
9.325,544.85,ingest,86.812,86.812
9.425,545.83,ingest,87.791,87.791
9.526,546.80,ingest,88.768,88.768
9.626,643.09,ingest,89.599,89.599
9.726,644.09,ingest,90.592,90.592
9.826,660.39,ingest,90.592,90.592
9.927,692.21,ingest,91.551,91.552
10.027,692.21,ingest,91.551,91.552
10.127,692.21,delete,91.552,91.562
