t_s,rss_mb,phase,tracemalloc_cur_mb,tracemalloc_peak_mb
0.000,10.96,?,0.000,0.000
0.100,22.88,ingest,0.000,0.001
0.201,28.48,ingest,0.979,0.979
0.301,33.50,ingest,1.936,1.936
0.401,40.61,ingest,2.901,2.901
0.502,46.60,ingest,3.922,3.923
0.602,56.21,ingest,4.881,4.881
0.702,64.48,ingest,5.829,5.829
0.802,65.48,ingest,6.756,6.756
0.903,71.85,ingest,7.751,7.751
1.003,75.66,ingest,8.656,8.656
1.103,79.71,ingest,9.676,9.677
1.203,95.36,ingest,10.652,10.652
1.304,110.68,ingest,11.571,11.571
1.404,111.71,ingest,12.502,12.502
1.504,112.70,ingest,13.524,13.524
1.605,113.69,ingest,14.496,14.496
1.705,122.71,ingest,15.477,15.477
1.805,126.56,ingest,16.392,16.392
1.905,130.50,ingest,17.375,17.375
2.006,140.71,ingest,18.305,18.306
2.106,141.67,ingest,19.278,19.278
2.206,142.66,ingest,20.245,20.245
2.307,145.55,ingest,21.224,21.224
2.407,172.68,ingest,22.152,22.152
2.507,176.90,ingest,22.943,22.943
2.607,203.74,ingest,23.904,23.904
2.708,204.70,ingest,24.701,24.701
2.808,205.68,ingest,25.647,25.647
2.908,206.60,ingest,26.620,26.620
3.008,207.59,ingest,27.524,27.524
3.109,208.56,ingest,28.511,28.511
3.209,209.52,ingest,29.484,29.484
3.309,234.73,ingest,30.439,30.439
3.410,236.20,ingest,31.197,31.197
3.510,252.61,ingest,32.070,32.070
3.610,253.62,ingest,33.020,33.020
3.711,254.61,ingest,34.015,34.015
3.811,255.60,ingest,34.996,34.996
3.911,266.96,ingest,35.981,35.981
4.012,274.00,ingest,36.639,36.639
4.112,274.94,ingest,37.615,37.615
4.212,275.96,ingest,38.574,38.574
4.312,276.95,ingest,39.576,39.576
4.413,277.96,ingest,40.566,40.566
4.513,278.94,ingest,41.558,41.558
4.613,290.37,ingest,42.542,42.542
4.714,291.38,ingest,43.244,43.244
4.814,340.08,ingest,44.253,44.253
4.914,341.01,ingest,44.951,44.951
5.014,342.00,ingest,45.857,45.858
5.115,342.93,ingest,46.842,46.842
5.215,343.88,ingest,47.772,47.772
5.315,365.96,ingest,48.724,48.724
5.415,366.93,ingest,49.352,49.353
5.516,367.93,ingest,50.325,50.325
5.616,368.93,ingest,51.309,51.309
5.716,369.94,ingest,52.307,52.307
5.816,370.96,ingest,53.314,53.314
5.917,407.13,ingest,54.330,54.330
6.017,393.79,ingest,54.929,54.929
6.117,394.77,ingest,55.901,55.901
6.217,395.75,ingest,56.874,56.874
6.318,396.73,ingest,57.848,57.848
6.418,397.71,ingest,58.817,58.817
6.518,398.57,ingest,59.789,59.789
6.618,420.55,ingest,60.644,60.644
