t_s,rss_mb,phase,tracemalloc_cur_mb,tracemalloc_peak_mb
0.000,11.88,?,0.000,0.000
0.100,25.98,ingest,0.000,0.001
0.201,30.59,ingest,1.019,1.019
0.301,40.49,ingest,2.025,2.025
0.401,41.75,ingest,3.040,3.040
0.501,48.05,ingest,4.031,4.031
0.602,61.32,ingest,5.039,5.039
0.702,65.45,ingest,6.012,6.012
0.802,66.46,ingest,7.000,7.000
0.902,72.42,ingest,8.001,8.001
1.002,73.42,ingest,9.020,9.020
1.103,74.44,ingest,10.016,10.016
1.203,88.03,ingest,11.037,11.037
1.303,108.38,ingest,12.007,12.007
1.403,97.76,ingest,12.942,12.942
1.504,98.84,ingest,13.946,13.947
1.604,100.04,ingest,14.940,14.940
1.704,110.12,ingest,15.943,15.943
1.804,113.96,ingest,16.874,16.874
1.905,141.24,ingest,17.866,17.866
2.005,141.95,ingest,18.720,18.720
2.105,143.73,ingest,19.720,19.720
2.205,144.88,ingest,20.713,20.713
2.306,160.62,ingest,21.729,21.729
2.406,161.62,ingest,22.603,22.603
2.506,173.63,ingest,23.607,23.607
2.606,189.31,ingest,24.456,24.456
2.707,190.33,ingest,25.455,25.455
2.807,191.34,ingest,26.463,26.463
2.907,192.35,ingest,27.466,27.467
3.007,193.37,ingest,28.477,28.477
3.108,194.38,ingest,29.485,29.485
3.208,207.73,ingest,30.487,30.487
3.308,218.16,ingest,31.301,31.302
3.408,199.71,ingest,32.190,32.190
3.508,202.72,ingest,33.165,33.165
3.609,205.41,ingest,34.149,34.149
3.709,209.08,ingest,35.116,35.116
3.809,228.25,ingest,36.084,36.084
3.909,228.92,ingest,36.758,36.758
4.010,230.83,ingest,37.744,37.744
4.110,219.21,ingest,38.761,38.761
4.210,222.96,ingest,39.743,39.743
4.310,225.91,ingest,40.744,40.744
4.411,228.85,ingest,41.731,41.731
4.511,281.78,ingest,42.721,42.721
4.611,284.02,ingest,43.728,43.728
4.711,296.49,ingest,44.739,44.739
4.811,298.94,ingest,45.512,45.512
4.912,302.23,ingest,46.513,46.513
5.012,304.27,ingest,47.540,47.540
5.112,346.24,ingest,48.560,48.560
5.212,358.07,ingest,49.196,49.197
5.313,359.09,ingest,50.211,50.211
5.413,352.50,ingest,51.215,51.215
5.513,355.47,ingest,52.234,52.234
5.613,358.11,ingest,53.275,53.275
5.714,361.59,ingest,54.278,54.278
5.814,351.40,ingest,54.934,54.934
5.914,352.43,ingest,55.930,55.930
6.014,353.46,ingest,56.965,56.966
6.115,346.00,ingest,57.963,57.963
6.215,349.52,ingest,58.980,58.980
6.315,342.31,ingest,60.000,60.000
6.415,407.29,ingest,61.005,61.006
6.516,406.58,ingest,61.548,61.548
6.616,394.82,ingest,62.557,62.557
6.716,387.48,ingest,63.557,63.557
6.816,390.77,ingest,64.376,64.376
6.916,393.79,ingest,65.395,65.395
7.017,396.46,ingest,66.399,66.399
7.117,443.14,ingest,67.136,67.136
7.217,444.99,ingest,68.124,68.124
7.317,421.41,ingest,69.102,69.102
7.418,424.14,ingest,70.086,70.086
7.518,427.17,ingest,71.071,71.071
7.618,430.21,ingest,72.057,72.057
7.719,441.25,ingest,73.031,73.031
7.819,442.03,ingest,73.887,73.887
7.919,438.11,ingest,74.848,74.848
8.019,442.02,ingest,75.829,75.829
8.120,444.49,ingest,76.797,76.797
8.220,446.87,ingest,77.760,77.760
8.320,449.05,ingest,78.606,78.606
8.421,465.41,ingest,79.343,79.343
8.521,466.58,ingest,80.342,80.342
8.621,467.20,ingest,81.331,81.331
8.721,468.44,ingest,82.316,82.316
8.821,468.48,ingest,83.307,83.307
8.922,454.55,ingest,84.280,84.280
9.022,467.43,ingest,85.269,85.269
9.122,457.88,ingest,86.095,86.096
9.222,460.02,ingest,87.079,87.079
9.323,462.96,ingest,88.065,88.065
9.423,463.95,ingest,89.047,89.047
9.523,560.34,ingest,89.598,89.598
9.623,561.32,ingest,90.570,90.570
9.724,585.38,ingest,91.549,91.549
9.824,604.05,ingest,91.549,91.549
9.924,604.05,delete,91.551,91.561
10.024,583.09,delete,91.551,91.561
10.125,604.05,delete,91.551,91.561
10.225,604.05,settle,91.551,91.561
10.325,604.05,settle,91.551,91.561
10.426,604.05,settle,91.551,91.561
10.526,604.05,settle,91.552,91.561
10.626,604.05,settle,91.552,91.561
10.727,604.05,settle,91.552,91.561
10.827,604.05,settle,91.552,91.561
10.928,604.05,settle,91.552,91.561
11.028,604.05,settle,91.552,91.562
11.129,604.05,settle,91.552,91.562
11.229,604.05,settle,91.552,91.562
11.329,604.05,settle,91.552,91.562
11.430,604.05,settle,91.552,91.562
11.531,604.05,settle,91.552,91.562
11.631,604.05,settle,91.552,91.562
11.731,604.05,settle,91.552,91.562
11.832,604.05,settle,91.552,91.562
11.932,604.05,settle,91.552,91.562
12.033,604.05,settle,91.552,91.562
12.133,604.05,settle,91.552,91.562
12.234,604.45,settle,91.552,91.562
12.334,604.45,settle,91.552,91.562
12.434,585.39,trimmed,91.797,91.826
12.534,585.39,trimmed,91.797,91.826
12.635,585.39,trimmed,91.797,91.826
12.735,585.39,trimmed,91.797,91.826
12.835,585.39,trimmed,91.797,91.826
12.935,585.39,trimmed,91.797,91.826
13.035,585.39,trimmed,91.797,91.826
13.136,585.39,trimmed,91.797,91.826
13.236,361.34,trimmed,91.797,91.826
13.336,361.34,trimmed,91.797,91.826
13.436,377.34,trimmed,91.797,91.826
13.536,360.84,trimmed,91.797,91.826
