t_s,rss_mb,phase,tracemalloc_cur_mb,tracemalloc_peak_mb
0.000,10.05,?,0.000,0.000
0.100,22.88,ingest,0.000,0.001
0.201,28.58,ingest,0.969,0.969
0.301,33.55,ingest,1.948,1.948
0.401,40.49,ingest,2.910,2.910
0.501,46.59,ingest,3.876,3.876
0.602,56.13,ingest,4.865,4.865
0.702,64.49,ingest,5.814,5.814
0.802,65.48,ingest,6.768,6.769
0.903,71.91,ingest,7.744,7.745
1.003,75.66,ingest,8.701,8.701
1.103,79.77,ingest,9.681,9.681
1.203,95.34,ingest,10.669,10.669
1.304,110.66,ingest,11.558,11.558
1.404,111.64,ingest,12.459,12.459
1.504,112.62,ingest,13.441,13.441
1.605,113.62,ingest,14.414,14.414
1.705,122.70,ingest,15.409,15.409
1.805,126.54,ingest,16.375,16.375
1.905,130.66,ingest,17.368,17.368
2.006,140.76,ingest,18.305,18.306
2.106,141.75,ingest,19.296,19.296
2.206,142.75,ingest,20.286,20.286
2.306,146.11,ingest,21.280,21.280
2.407,173.84,ingest,22.276,22.276
2.507,177.40,ingest,23.098,23.098
2.607,204.02,ingest,24.104,24.104
2.708,205.02,ingest,24.931,24.932
2.808,206.00,ingest,25.920,25.920
2.908,206.99,ingest,26.895,26.895
3.008,207.97,ingest,27.878,27.878
3.109,208.96,ingest,28.853,28.853
3.209,224.88,ingest,29.831,29.831
3.309,235.21,ingest,30.609,30.609
3.409,252.09,ingest,31.590,31.590
3.510,253.08,ingest,32.457,32.457
3.610,254.07,ingest,33.439,33.439
3.710,255.05,ingest,34.422,34.422
3.811,256.02,ingest,35.394,35.395
3.911,273.43,ingest,36.359,36.359
4.011,274.45,ingest,37.076,37.077
4.111,275.42,ingest,38.042,38.042
4.212,276.40,ingest,39.006,39.006
4.312,277.38,ingest,39.978,39.978
4.412,278.37,ingest,40.955,40.955
4.513,279.27,ingest,41.937,41.937
4.613,290.77,ingest,42.721,42.722
4.713,291.76,ingest,43.694,43.694
4.813,340.39,ingest,44.673,44.673
4.914,341.37,ingest,45.304,45.304
5.014,342.27,ingest,46.276,46.276
5.114,343.22,ingest,47.159,47.159
5.214,347.99,ingest,48.103,48.103
5.314,366.23,ingest,48.825,48.825
5.415,367.16,ingest,49.759,49.759
5.515,368.09,ingest,50.668,50.668
5.615,369.03,ingest,51.605,51.605
5.716,369.78,ingest,52.444,52.444
5.816,370.70,ingest,53.279,53.279
5.916,371.54,ingest,54.164,54.164
6.016,393.36,ingest,54.929,54.929
6.117,394.21,ingest,55.762,55.762
6.217,395.05,ingest,56.631,56.631
6.317,395.93,ingest,57.465,57.465
6.417,396.80,ingest,58.349,58.349
6.518,397.65,ingest,59.203,59.203
6.618,398.50,ingest,60.031,60.031
6.718,424.72,ingest,60.887,60.887
6.819,421.23,ingest,61.331,61.331
6.919,422.09,ingest,62.235,62.235
7.019,422.95,ingest,63.085,63.085
7.119,455.63,ingest,63.949,63.949
7.220,456.50,ingest,64.631,64.631
7.320,457.34,ingest,65.475,65.475
7.420,458.21,ingest,66.321,66.321
7.521,495.65,ingest,66.321,66.321
7.621,480.88,ingest,67.137,67.137
7.721,481.72,ingest,67.992,67.992
7.821,482.58,ingest,68.832,68.832
7.922,483.43,ingest,70.528,70.528
8.022,484.29,ingest,71.383,71.383
8.122,485.13,ingest,72.225,72.225
8.222,486.00,ingest,73.086,73.086
8.323,486.87,ingest,73.954,73.954
8.423,487.87,ingest,74.944,74.944
8.523,488.86,ingest,75.930,75.930
8.623,489.85,ingest,76.908,76.908
8.723,490.83,ingest,77.889,77.889
8.824,493.45,ingest,78.865,78.865
8.924,512.62,ingest,79.721,79.721
9.024,513.57,ingest,80.671,80.671
9.125,514.53,ingest,81.618,81.618
9.225,515.49,ingest,82.577,82.577
9.325,516.46,ingest,83.541,83.541
9.425,517.44,ingest,84.511,84.511
9.525,530.01,ingest,84.511,84.511
9.626,543.73,ingest,85.448,85.449
9.726,544.72,ingest,86.428,86.428
9.826,545.68,ingest,87.404,87.404
9.926,546.65,ingest,88.361,88.361
10.027,701.19,ingest,89.325,89.325
10.127,643.96,ingest,89.644,89.644
10.227,644.95,ingest,90.624,90.624
10.328,692.26,ingest,91.552,91.553
10.428,692.26,ingest,91.552,91.553
10.528,692.26,delete,91.553,91.562
10.629,692.26,delete,91.553,91.562
10.729,692.26,settle,91.553,91.563
10.829,692.26,settle,91.553,91.563
10.929,692.26,settle,91.553,91.563
