t_s,rss_mb,phase,tracemalloc_cur_mb,tracemalloc_peak_mb
0.000,11.20,?,0.000,0.000
0.100,22.88,ingest,0.000,0.001
0.201,28.58,ingest,0.980,0.980
0.301,33.58,ingest,1.947,1.947
0.401,40.51,ingest,2.914,2.914
0.501,46.57,ingest,3.883,3.883
0.602,56.05,ingest,4.848,4.849
0.702,64.45,ingest,5.786,5.786
0.802,65.43,ingest,6.721,6.721
0.902,71.83,ingest,7.690,7.690
1.003,75.36,ingest,8.628,8.628
1.103,79.30,ingest,9.603,9.603
1.203,94.94,ingest,10.578,10.578
1.303,110.55,ingest,11.459,11.459
1.404,111.54,ingest,12.359,12.359
1.504,112.50,ingest,13.330,13.330
1.604,113.48,ingest,14.290,14.290
1.704,122.48,ingest,15.257,15.257
1.805,125.60,ingest,16.161,16.161
1.905,129.42,ingest,17.124,17.124
2.005,140.43,ingest,18.083,18.083
2.106,141.40,ingest,18.906,18.906
2.206,142.37,ingest,19.866,19.866
2.306,144.36,ingest,20.828,20.828
2.407,171.54,ingest,21.798,21.798
2.507,175.36,ingest,22.587,22.587
2.607,179.91,ingest,23.540,23.540
2.708,204.49,ingest,24.409,24.410
2.808,205.45,ingest,25.388,25.388
2.908,206.42,ingest,26.342,26.342
3.008,207.38,ingest,27.297,27.297
3.109,208.36,ingest,28.262,28.262
3.209,209.33,ingest,29.225,29.225
3.309,234.57,ingest,30.191,30.191
3.410,235.49,ingest,30.961,30.961
3.510,252.34,ingest,31.846,31.846
3.610,253.31,ingest,32.700,32.700
3.710,254.28,ingest,33.663,33.663
3.811,255.24,ingest,34.624,34.624
3.911,256.20,ingest,35.581,35.581
4.011,273.61,ingest,36.535,36.535
4.111,274.62,ingest,37.238,37.238
4.212,275.59,ingest,38.206,38.206
4.312,276.57,ingest,39.169,39.169
4.412,277.55,ingest,40.140,40.140
4.513,278.52,ingest,41.109,41.109
4.613,304.15,ingest,42.076,42.076
4.713,290.92,ingest,42.770,42.770
4.813,291.89,ingest,43.744,43.744
4.914,340.54,ingest,44.709,44.709
5.014,341.49,ingest,45.339,45.339
5.114,342.44,ingest,46.290,46.290
5.214,343.40,ingest,47.237,47.237
5.315,370.65,ingest,48.190,48.190
5.415,366.30,ingest,48.825,48.825
5.515,367.22,ingest,49.697,49.697
5.616,368.12,ingest,50.610,50.610
5.716,369.04,ingest,51.504,51.504
5.816,369.95,ingest,52.411,52.411
5.916,370.86,ingest,53.321,53.321
6.017,380.56,ingest,54.226,54.226
6.117,393.69,ingest,54.929,54.929
6.217,394.64,ingest,55.874,55.874
6.318,395.60,ingest,56.819,56.820
6.418,396.55,ingest,57.771,57.771
6.518,397.51,ingest,58.720,58.720
6.621,398.42,ingest,59.669,59.669
6.721,399.07,ingest,60.477,60.477
6.822,420.98,ingest,61.033,61.033
6.922,421.96,ingest,62.017,62.017
7.022,422.95,ingest,63.001,63.001
7.122,455.71,ingest,63.962,63.962
7.223,456.58,ingest,64.711,64.711
7.323,457.45,ingest,65.521,65.521
7.423,458.38,ingest,66.426,66.426
7.523,480.30,ingest,67.137,67.137
7.624,481.25,ingest,68.096,68.096
7.724,482.22,ingest,69.052,69.052
7.824,483.19,ingest,70.011,70.011
7.925,484.16,ingest,70.980,70.980
8.025,485.13,ingest,71.943,71.943
8.125,486.09,ingest,72.901,72.901
8.225,487.01,ingest,73.810,73.811
8.326,487.98,ingest,74.775,74.775
8.426,488.96,ingest,75.743,75.743
8.526,489.93,ingest,76.710,76.711
8.626,490.91,ingest,77.676,77.676
8.727,493.68,ingest,78.644,78.644
8.827,512.69,ingest,79.508,79.508
8.927,513.65,ingest,80.468,80.468
9.028,514.62,ingest,81.423,81.423
9.128,515.57,ingest,82.373,82.373
9.228,516.55,ingest,83.338,83.338
9.329,517.52,ingest,84.306,84.306
9.429,542.83,ingest,85.270,85.270
9.529,543.80,ingest,86.085,86.085
9.629,544.75,ingest,87.039,87.039
9.730,545.71,ingest,87.984,87.984
9.830,546.66,ingest,88.931,88.931
9.930,701.89,ingest,88.931,88.931
10.031,643.96,ingest,89.599,89.599
10.131,644.95,ingest,90.584,90.584
10.231,692.26,ingest,91.552,91.552
10.332,692.26,ingest,91.552,91.552
10.432,692.26,delete,91.553,91.562
10.532,692.26,delete,91.553,91.562
10.633,692.26,settle,91.553,91.563
10.733,692.26,settle,91.553,91.563
10.833,692.26,settle,91.553,91.563
10.934,692.26,settle,91.553,91.563
11.034,692.26,settle,91.553,91.563
11.134,692.26,settle,91.553,91.563
11.235,692.26,settle,91.553,91.563
11.335,692.26,settle,91.553,91.563
11.436,692.26,settle,91.553,91.563
11.536,692.26,settle,91.553,91.563
11.636,692.26,settle,91.553,91.563
11.736,692.26,settle,91.553,91.563
11.837,692.26,settle,91.553,91.563
11.937,692.26,settle,91.554,91.563
12.037,692.26,settle,91.554,91.563
12.139,692.26,settle,91.554,91.563
12.239,692.26,settle,91.554,91.563
12.339,692.26,settle,91.554,91.564
12.440,692.26,settle,91.554,91.564
12.540,692.26,settle,91.554,91.564
12.640,663.70,settle,91.554,91.564
12.741,663.70,settle,91.554,91.564
12.841,457.52,trimmed,91.799,91.827
12.941,457.52,trimmed,91.799,91.827
13.041,457.52,trimmed,91.799,91.827
13.141,457.52,trimmed,91.799,91.827
13.242,457.52,trimmed,91.799,91.827
13.342,457.52,trimmed,91.799,91.827
13.442,457.52,trimmed,91.799,91.827
13.543,457.52,trimmed,91.799,91.827
13.643,457.52,trimmed,91.799,91.827
13.743,457.52,trimmed,91.799,91.827
13.844,457.52,trimmed,91.799,91.827
13.944,457.52,trimmed,91.799,91.827
14.044,457.52,trimmed,91.799,91.827
14.144,425.52,trimmed,91.799,91.827
14.245,425.52,trimmed,91.799,91.827
14.345,409.52,trimmed,91.799,91.827
14.445,409.52,trimmed,91.799,91.827
14.546,423.52,trimmed,91.799,91.827
