t_s,rss_mb,phase,tracemalloc_cur_mb,tracemalloc_peak_mb
0.000,12.30,?,0.000,0.000
0.100,25.64,ingest,0.000,0.001
0.201,30.82,ingest,0.998,0.998
0.301,39.82,ingest,1.992,1.992
0.401,40.81,ingest,2.972,2.972
0.502,47.27,ingest,3.958,3.958
0.602,61.13,ingest,4.933,4.933
0.702,65.33,ingest,5.900,5.900
0.803,66.33,ingest,6.861,6.861
0.903,72.25,ingest,7.854,7.854
1.003,73.25,ingest,8.821,8.821
1.104,74.23,ingest,9.814,9.814
1.204,87.48,ingest,10.789,10.789
1.304,95.17,ingest,11.711,11.712
1.404,97.54,ingest,12.618,12.618
1.505,98.55,ingest,13.616,13.616
1.605,99.73,ingest,14.611,14.611
1.705,109.12,ingest,15.608,15.608
1.806,112.54,ingest,16.541,16.541
1.906,139.30,ingest,17.538,17.538
2.006,142.50,ingest,18.397,18.397
2.107,143.50,ingest,19.386,19.386
2.207,144.55,ingest,20.376,20.376
2.307,145.55,ingest,21.357,21.357
2.408,161.27,ingest,22.345,22.345
2.508,162.26,ingest,23.208,23.208
2.608,188.89,ingest,24.189,24.189
2.708,189.88,ingest,24.993,24.993
2.808,190.86,ingest,25.975,25.975
2.909,191.86,ingest,26.953,26.953
3.009,192.84,ingest,27.936,27.936
3.109,193.83,ingest,28.918,28.918
3.210,206.69,ingest,29.895,29.895
3.310,192.72,ingest,30.670,30.670
3.410,203.99,ingest,31.691,31.691
3.511,200.93,ingest,32.589,32.589
3.611,204.78,ingest,33.607,33.607
3.711,207.57,ingest,34.627,34.627
3.812,210.64,ingest,35.646,35.646
3.912,228.74,ingest,36.617,36.617
4.012,230.59,ingest,37.626,37.626
4.113,218.04,ingest,38.642,38.642
4.213,221.87,ingest,39.644,39.644
4.313,225.31,ingest,40.647,40.647
4.413,227.87,ingest,41.654,41.654
4.514,288.33,ingest,42.657,42.657
4.614,284.69,ingest,43.330,43.330
4.714,297.27,ingest,44.337,44.337
4.814,286.69,ingest,45.119,45.119
4.914,289.64,ingest,46.131,46.131
5.015,292.48,ingest,47.144,47.145
5.115,301.97,ingest,48.148,48.149
5.215,348.29,ingest,48.824,48.825
5.315,350.33,ingest,49.813,49.813
5.416,339.69,ingest,50.805,50.805
5.516,342.45,ingest,51.802,51.803
5.616,346.34,ingest,52.800,52.800
5.717,349.25,ingest,53.800,53.800
5.817,350.92,ingest,54.796,54.797
5.917,351.98,ingest,55.430,55.431
6.017,339.27,ingest,56.431,56.432
6.118,333.88,ingest,57.425,57.425
6.218,336.13,ingest,58.416,58.416
6.318,338.98,ingest,59.407,59.407
6.418,348.38,ingest,60.389,60.389
6.519,392.44,ingest,61.031,61.032
6.619,393.98,ingest,62.017,62.017
6.719,395.44,ingest,63.017,63.017
6.819,397.88,ingest,63.991,63.991
6.920,398.86,ingest,64.784,64.785
7.020,399.85,ingest,65.759,65.759
7.120,429.14,ingest,66.746,66.747
7.220,448.59,ingest,67.267,67.267
7.322,449.32,ingest,68.197,68.197
7.422,450.12,ingest,68.843,68.843
7.522,450.97,ingest,69.732,69.732
7.623,438.50,ingest,70.551,70.551
7.723,442.13,ingest,71.455,71.455
7.823,445.29,ingest,72.448,72.448
7.923,446.69,ingest,73.374,73.374
8.024,448.38,ingest,74.337,74.337
8.124,449.84,ingest,75.330,75.330
8.224,450.85,ingest,76.295,76.295
8.325,451.86,ingest,77.313,77.313
8.425,453.23,ingest,78.307,78.307
8.525,470.55,ingest,79.287,79.287
8.626,469.90,ingest,80.134,80.134
8.726,472.32,ingest,81.131,81.131
8.826,473.57,ingest,82.100,82.100
8.926,473.84,ingest,83.094,83.094
9.027,459.52,ingest,84.055,84.055
9.127,468.08,ingest,85.044,85.044
9.227,460.45,ingest,85.913,85.913
9.328,462.85,ingest,86.932,86.932
9.428,460.52,ingest,87.928,87.928
9.528,472.55,ingest,88.903,88.903
9.628,560.68,ingest,89.597,89.597
9.729,562.98,ingest,90.583,90.583
9.829,607.73,ingest,91.550,91.551
9.929,616.14,ingest,91.550,91.551
10.030,616.14,delete,91.551,91.560
10.130,609.29,delete,91.551,91.560
10.230,616.14,delete_done,91.550,91.561
10.331,616.14,settle,91.551,91.561
10.431,616.14,settle,91.551,91.561
10.531,616.14,settle,91.551,91.561
10.631,616.14,settle,91.551,91.561
10.732,616.14,settle,91.551,91.561
10.832,616.14,settle,91.551,91.561
10.933,616.14,settle,91.551,91.561
11.033,616.14,settle,91.551,91.561
11.134,616.14,settle,91.551,91.561
11.234,616.14,settle,91.552,91.561
11.334,616.14,settle,91.552,91.561
11.435,616.14,settle,91.552,91.561
11.535,616.14,settle,91.552,91.561
11.635,616.14,settle,91.552,91.562
11.736,616.14,settle,91.552,91.562
11.836,616.14,settle,91.552,91.562
11.936,616.14,settle,91.552,91.562
12.037,616.14,settle,91.552,91.562
12.137,616.14,settle,91.552,91.562
12.237,615.65,settle,91.552,91.562
12.338,602.71,settle,91.552,91.562
12.438,574.19,trimmed,91.796,91.825
12.538,574.19,trimmed,91.796,91.825
12.638,574.19,trimmed,91.796,91.825
12.739,574.19,trimmed,91.796,91.825
12.839,574.19,trimmed,91.796,91.825
12.939,574.19,trimmed,91.796,91.825
13.039,574.19,trimmed,91.796,91.825
13.140,574.19,trimmed,91.796,91.825
13.240,574.19,trimmed,91.796,91.825
13.340,350.14,trimmed,91.796,91.825
13.440,350.14,trimmed,91.796,91.825
13.541,366.14,trimmed,91.796,91.825
13.641,361.14,trimmed,91.796,91.825
