t_s,rss_mb,phase,tracemalloc_cur_mb,tracemalloc_peak_mb
0.000,11.07,?,0.000,0.000
0.100,22.89,ingest,0.000,0.001
0.201,28.79,ingest,0.982,0.982
0.301,36.73,ingest,1.989,1.989
0.401,41.40,ingest,2.972,2.972
0.502,46.70,ingest,3.973,3.973
0.602,56.60,ingest,4.964,4.964
0.702,64.64,ingest,5.928,5.928
0.803,65.65,ingest,6.902,6.902
0.903,72.45,ingest,7.906,7.906
1.003,76.64,ingest,8.876,8.876
1.103,80.97,ingest,9.875,9.875
1.204,96.18,ingest,10.873,10.873
1.304,110.91,ingest,11.781,11.781
1.404,111.91,ingest,12.700,12.700
1.504,112.92,ingest,13.696,13.696
1.605,113.93,ingest,14.701,14.701
1.705,123.67,ingest,15.705,15.705
1.805,127.73,ingest,16.646,16.646
1.906,140.02,ingest,17.631,17.631
2.006,141.03,ingest,18.490,18.490
2.106,142.04,ingest,19.495,19.495
2.207,143.90,ingest,20.499,20.499
2.307,151.70,ingest,21.508,21.508
2.407,174.56,ingest,22.395,22.395
2.507,178.75,ingest,23.403,23.403
2.608,204.38,ingest,24.408,24.408
2.708,205.40,ingest,25.260,25.260
2.808,206.41,ingest,26.280,26.280
2.908,207.41,ingest,27.281,27.281
3.009,208.43,ingest,28.278,28.278
3.109,209.44,ingest,29.286,29.286
3.209,234.68,ingest,30.288,30.288
3.309,235.74,ingest,31.092,31.092
3.409,252.62,ingest,32.002,32.002
3.510,253.63,ingest,32.993,32.993
3.610,254.62,ingest,33.990,33.990
3.710,255.61,ingest,34.969,34.969
3.810,269.36,ingest,35.949,35.949
3.911,274.03,ingest,36.646,36.646
4.011,275.02,ingest,37.627,37.627
4.111,276.01,ingest,38.608,38.608
4.212,277.00,ingest,39.591,39.591
4.312,278.01,ingest,40.578,40.578
4.412,279.00,ingest,41.576,41.576
4.513,290.41,ingest,42.554,42.554
4.613,291.39,ingest,43.253,43.253
4.713,383.52,ingest,44.228,44.228
4.813,341.05,ingest,44.874,44.874
4.914,342.07,ingest,45.883,45.883
5.014,343.09,ingest,46.890,46.890
5.114,344.12,ingest,47.904,47.904
5.214,366.23,ingest,48.825,48.825
5.315,367.25,ingest,49.825,49.825
5.415,368.27,ingest,50.836,50.836
5.515,369.30,ingest,51.852,51.852
5.616,370.30,ingest,52.870,52.871
5.716,371.32,ingest,53.869,53.869
5.816,393.19,ingest,54.871,54.871
5.916,394.20,ingest,55.486,55.486
6.017,395.19,ingest,56.473,56.473
6.117,396.19,ingest,57.471,57.471
6.217,397.20,ingest,58.469,58.470
6.318,398.20,ingest,59.478,59.478
6.418,409.07,ingest,60.455,60.455
6.518,421.20,ingest,61.033,61.033
6.618,422.19,ingest,62.015,62.015
6.719,423.18,ingest,63.001,63.001
6.819,455.93,ingest,63.967,63.967
6.919,456.91,ingest,64.721,64.721
7.019,457.88,ingest,65.698,65.698
7.120,491.47,ingest,66.658,66.658
7.220,480.71,ingest,67.197,67.197
7.320,481.70,ingest,68.165,68.165
7.420,482.67,ingest,69.137,69.137
7.521,483.65,ingest,70.105,70.106
7.621,484.62,ingest,71.080,71.080
7.721,485.59,ingest,72.050,72.050
7.821,486.50,ingest,73.008,73.008
7.921,487.46,ingest,73.914,73.914
8.022,488.43,ingest,74.868,74.868
8.122,489.40,ingest,75.828,75.828
8.222,490.35,ingest,76.785,76.785
8.323,491.75,ingest,77.737,77.737
8.423,500.26,ingest,78.687,78.687
8.523,513.10,ingest,79.530,79.530
8.623,514.05,ingest,80.482,80.482
8.724,515.02,ingest,81.432,81.432
8.824,515.98,ingest,82.386,82.386
8.924,516.95,ingest,83.343,83.343
9.025,518.02,ingest,84.303,84.303
9.125,543.18,ingest,85.255,85.255
9.225,544.18,ingest,86.066,86.066
9.326,545.15,ingest,87.034,87.034
9.426,546.11,ingest,87.994,87.994
9.526,580.73,ingest,88.954,88.954
9.626,643.39,ingest,89.599,89.599
9.727,644.32,ingest,90.536,90.536
9.827,669.47,ingest,91.485,91.485
9.927,670.42,ingest,92.239,92.239
10.027,671.39,ingest,93.195,93.195
10.127,672.36,ingest,94.135,94.135
10.228,673.31,ingest,95.065,95.065
10.328,673.97,ingest,95.907,95.907
10.428,674.82,ingest,96.604,96.604
10.529,675.49,ingest,97.425,97.425
10.629,693.26,ingest,97.733,97.733
10.729,693.88,ingest,98.338,98.338
10.830,694.44,ingest,98.909,98.909
10.930,695.00,ingest,99.463,99.464
11.030,695.55,ingest,100.017,100.017
11.130,696.10,ingest,100.560,100.560
11.231,696.65,ingest,101.113,101.113
11.331,697.21,ingest,101.662,101.662
11.431,697.78,ingest,102.225,102.225
11.532,698.34,ingest,102.784,102.785
11.632,698.93,ingest,103.332,103.332
11.732,710.24,ingest,103.846,103.846
11.832,711.16,ingest,104.752,104.752
11.933,712.05,ingest,105.652,105.652
12.033,713.00,ingest,106.566,106.567
12.133,713.94,ingest,107.508,107.508
12.233,714.88,ingest,108.438,108.439
12.334,715.82,ingest,109.374,109.374
12.434,737.86,ingest,109.979,109.979
12.534,738.78,ingest,110.887,110.887
12.634,739.69,ingest,111.795,111.795
12.735,740.62,ingest,112.711,112.711
12.835,741.55,ingest,113.636,113.636
12.935,742.49,ingest,114.559,114.560
13.036,743.42,ingest,115.495,115.495
13.136,765.41,ingest,116.088,116.088
13.236,766.42,ingest,117.062,117.063
13.336,767.40,ingest,118.051,118.051
13.437,768.39,ingest,119.032,119.032
13.537,769.37,ingest,120.009,120.009
13.637,770.36,ingest,120.990,120.990
13.737,792.33,ingest,121.969,121.969
13.837,793.30,ingest,122.545,122.545
13.938,794.27,ingest,123.509,123.509
14.038,795.24,ingest,124.471,124.471
14.138,796.21,ingest,125.435,125.435
14.238,797.18,ingest,126.409,126.409
14.338,798.16,ingest,127.374,127.374
14.439,901.01,ingest,128.004,128.004
14.539,884.63,ingest,128.523,128.523
14.639,885.60,ingest,129.489,129.489
14.739,886.57,ingest,130.446,130.446
14.840,887.54,ingest,131.407,131.407
14.940,888.47,ingest,132.369,132.369
15.040,889.30,ingest,133.220,133.221
15.140,890.15,ingest,134.085,134.085
15.241,891.11,ingest,134.958,134.958
15.341,892.02,ingest,135.893,135.893
15.441,892.98,ingest,136.829,136.829
15.541,893.92,ingest,137.751,137.751
15.642,895.17,ingest,138.728,138.728
15.742,899.20,ingest,139.689,139.689
15.842,916.00,ingest,140.558,140.558
15.942,916.94,ingest,141.507,141.507
16.043,917.90,ingest,142.450,142.450
16.143,918.85,ingest,143.393,143.393
16.243,919.80,ingest,144.348,144.348
16.344,921.90,ingest,145.289,145.289
16.444,946.04,ingest,146.262,146.263
16.544,947.00,ingest,147.067,147.068
16.644,948.00,ingest,148.051,148.051
16.745,948.96,ingest,149.020,149.020
16.845,949.93,ingest,149.996,149.996
16.945,950.87,ingest,150.938,150.938
17.045,951.85,ingest,151.891,151.891
17.146,1014.62,ingest,151.891,151.891
17.246,981.11,ingest,151.891,151.891
17.346,1014.62,ingest,151.891,151.891
17.446,1006.78,delete,152.591,152.601
17.547,1014.62,delete,152.591,152.601
17.647,1014.62,delete,152.591,152.601
17.747,976.48,delete_done,152.590,152.601
17.848,976.48,settle,152.591,152.601
17.948,976.48,settle,152.591,152.601
18.048,976.48,settle,152.591,152.601
18.149,976.48,settle,152.591,152.601
18.249,976.48,settle,152.591,152.601
18.349,976.48,settle,152.591,152.601
18.450,976.48,settle,152.591,152.601
18.551,976.48,settle,152.591,152.601
18.651,976.48,settle,152.591,152.601
18.751,976.48,settle,152.591,152.601
18.852,976.48,settle,152.592,152.601
18.952,976.48,settle,152.592,152.601
19.052,976.48,settle,152.592,152.601
19.153,976.48,settle,152.592,152.601
19.253,976.48,settle,152.592,152.601
19.353,976.48,settle,152.592,152.602
19.454,976.48,settle,152.592,152.602
19.554,976.48,settle,152.592,152.602
19.655,976.48,settle,152.592,152.602
19.755,954.79,settle,152.592,152.602
19.855,987.43,settle,152.592,152.602
19.956,984.08,settle,152.592,152.602
20.056,987.43,settle,152.592,152.602
20.156,783.50,trimmed,152.836,152.865
20.256,783.50,trimmed,152.836,152.865
20.357,783.50,trimmed,152.836,152.865
20.457,783.50,trimmed,152.836,152.865
20.557,783.50,trimmed,152.836,152.865
20.657,783.50,trimmed,152.836,152.865
20.758,783.50,trimmed,152.836,152.865
20.858,783.50,trimmed,152.836,152.865
20.958,783.50,trimmed,152.836,152.865
21.058,783.50,trimmed,152.836,152.865
21.159,783.50,trimmed,152.836,152.865
21.259,783.50,trimmed,152.836,152.865
21.359,783.50,trimmed,152.836,152.865
21.459,783.50,trimmed,152.836,152.865
21.560,783.50,trimmed,152.836,152.865
21.660,783.50,trimmed,152.836,152.865
21.760,783.50,trimmed,152.836,152.865
21.860,783.50,trimmed,152.836,152.865
21.961,783.50,trimmed,152.836,152.865
22.061,783.50,trimmed,152.836,152.865
22.161,719.50,trimmed,152.836,152.865
22.261,719.50,trimmed,152.836,152.865
22.362,719.50,trimmed,152.836,152.865
22.462,719.50,trimmed,152.836,152.865
22.562,719.50,trimmed,152.836,152.865
22.663,751.51,trimmed,152.836,152.865
22.763,687.50,trimmed,152.836,152.865
22.863,687.50,trimmed,152.836,152.865
22.963,669.94,trimmed,152.836,152.865
23.064,669.94,trimmed,152.836,152.865
23.164,677.94,trimmed,152.836,152.865
23.264,0.00,closed,0.256,152.865
