t_s,rss_mb,phase,tracemalloc_cur_mb,tracemalloc_peak_mb
0.000,12.91,?,0.000,0.000
0.100,25.83,ingest,0.000,0.001
0.201,30.51,ingest,1.007,1.007
0.301,40.36,ingest,2.031,2.031
0.401,41.62,ingest,3.011,3.011
0.502,47.83,ingest,4.002,4.002
0.602,61.07,ingest,5.006,5.006
0.702,65.30,ingest,5.975,5.975
0.802,66.31,ingest,6.962,6.962
0.903,72.25,ingest,7.967,7.967
1.003,73.25,ingest,8.937,8.937
1.103,74.26,ingest,9.940,9.940
1.203,87.83,ingest,10.949,10.949
1.304,96.07,ingest,11.897,11.897
1.404,92.66,ingest,12.804,12.805
1.504,96.44,ingest,13.809,13.809
1.604,99.16,ingest,14.796,14.796
1.705,109.92,ingest,15.799,15.799
1.805,113.64,ingest,16.728,16.729
1.905,141.01,ingest,17.722,17.722
2.006,141.74,ingest,18.584,18.584
2.106,143.29,ingest,19.574,19.574
2.206,144.68,ingest,20.592,20.592
2.306,176.04,ingest,21.621,21.621
2.407,161.41,ingest,22.484,22.485
2.507,162.41,ingest,23.483,23.483
2.607,189.05,ingest,24.409,24.410
2.707,190.06,ingest,25.402,25.402
2.808,191.06,ingest,26.405,26.405
2.908,192.06,ingest,27.399,27.399
3.008,193.05,ingest,28.389,28.389
3.109,194.04,ingest,29.369,29.369
3.209,207.37,ingest,30.355,30.356
3.309,208.36,ingest,31.142,31.142
3.409,203.50,ingest,32.002,32.002
3.510,205.70,ingest,32.987,32.987
3.610,206.90,ingest,33.956,33.956
3.710,208.22,ingest,34.962,34.962
3.810,230.44,ingest,35.978,35.978
3.911,228.63,ingest,36.675,36.676
4.011,230.37,ingest,37.660,37.660
4.111,231.63,ingest,38.661,38.661
4.211,232.64,ingest,39.652,39.652
4.312,233.63,ingest,40.642,40.643
4.412,234.62,ingest,41.633,41.633
4.512,287.92,ingest,42.614,42.614
4.613,282.23,ingest,43.247,43.247
4.713,295.02,ingest,44.242,44.242
4.813,286.38,ingest,45.010,45.010
4.913,289.17,ingest,46.003,46.003
5.014,291.99,ingest,46.995,46.995
5.114,294.52,ingest,47.981,47.981
5.214,357.18,ingest,48.825,48.825
5.314,358.19,ingest,49.827,49.827
5.415,359.21,ingest,50.831,50.831
5.515,360.22,ingest,51.842,51.842
5.615,361.23,ingest,52.845,52.845
5.716,362.24,ingest,53.843,53.843
5.816,350.34,ingest,54.845,54.845
5.916,341.83,ingest,55.497,55.497
6.016,331.20,ingest,56.482,56.482
6.117,333.04,ingest,57.458,57.458
6.217,334.59,ingest,58.455,58.455
6.317,337.37,ingest,59.454,59.454
6.418,340.43,ingest,60.443,60.443
6.518,407.67,ingest,61.033,61.033
6.618,393.30,ingest,62.031,62.031
6.718,394.49,ingest,63.031,63.031
6.819,396.79,ingest,64.002,64.003
6.919,397.80,ingest,65.009,65.009
7.019,398.78,ingest,65.989,65.989
7.119,426.48,ingest,66.970,66.970
7.220,449.04,ingest,67.470,67.470
7.320,438.40,ingest,68.476,68.476
7.420,434.26,ingest,69.482,69.482
7.520,437.46,ingest,70.469,70.469
7.621,440.80,ingest,71.424,71.424
7.721,443.35,ingest,72.444,72.444
7.821,450.38,ingest,73.380,73.380
7.921,451.70,ingest,74.387,74.387
8.022,453.24,ingest,75.394,75.394
8.122,454.41,ingest,76.423,76.423
8.222,455.42,ingest,77.432,77.432
8.322,456.44,ingest,78.427,78.427
8.423,465.94,ingest,79.344,79.345
8.523,465.04,ingest,80.341,80.342
8.623,463.30,ingest,81.340,81.340
8.723,466.23,ingest,82.337,82.337
8.824,456.85,ingest,83.342,83.342
8.924,443.82,ingest,84.358,84.358
9.024,468.14,ingest,85.348,85.348
9.124,452.11,ingest,86.167,86.167
9.225,453.92,ingest,87.135,87.136
9.325,457.58,ingest,88.140,88.140
9.425,460.19,ingest,89.120,89.120
9.526,557.11,ingest,89.599,89.599
9.626,560.54,ingest,90.558,90.558
9.726,581.18,ingest,91.545,91.545
9.826,580.05,ingest,92.312,92.312
9.926,582.88,ingest,93.318,93.318
10.027,585.01,ingest,94.291,94.291
10.127,586.14,ingest,95.271,95.271
10.227,587.13,ingest,96.256,96.256
10.327,588.14,ingest,97.255,97.255
10.427,600.21,ingest,97.925,97.925
10.528,601.95,ingest,98.896,98.896
10.628,604.43,ingest,99.844,99.844
10.728,607.03,ingest,100.804,100.804
10.829,609.82,ingest,101.788,101.789
10.929,613.13,ingest,102.772,102.772
11.029,609.26,ingest,103.746,103.746
11.130,610.74,ingest,104.418,104.418
11.230,608.83,ingest,105.398,105.398
11.330,612.05,ingest,106.385,106.385
11.430,614.46,ingest,107.346,107.346
11.531,616.44,ingest,108.314,108.314
11.631,618.84,ingest,109.249,109.249
11.731,673.50,ingest,109.880,109.880
11.831,653.98,ingest,110.841,110.841
11.932,657.16,ingest,111.814,111.814
12.032,659.12,ingest,112.784,112.784
12.132,660.39,ingest,113.730,113.730
12.232,662.38,ingest,114.696,114.696
12.333,672.52,ingest,115.663,115.663
12.433,678.74,ingest,116.230,116.230
12.533,657.52,ingest,117.181,117.181
12.633,659.89,ingest,118.127,118.127
12.734,662.63,ingest,119.086,119.086
12.834,665.93,ingest,120.041,120.041
12.934,668.82,ingest,120.989,120.989
13.034,670.60,ingest,121.945,121.945
13.135,690.91,ingest,122.447,122.447
13.235,693.45,ingest,123.401,123.401
13.335,696.47,ingest,124.387,124.387
13.435,699.20,ingest,125.388,125.388
13.536,701.25,ingest,126.201,126.201
13.636,703.80,ingest,126.877,126.877
13.737,788.62,ingest,127.756,127.756
13.837,787.28,ingest,128.103,128.103
13.937,795.37,ingest,128.604,128.604
14.037,767.96,ingest,129.558,129.558
14.138,770.75,ingest,130.508,130.508
14.238,773.68,ingest,131.472,131.472
14.338,776.66,ingest,132.428,132.428
14.439,779.39,ingest,133.410,133.410
14.539,797.84,ingest,134.310,134.310
14.639,786.63,ingest,135.268,135.268
14.740,789.70,ingest,136.238,136.238
14.840,792.59,ingest,137.225,137.225
14.940,795.36,ingest,138.185,138.185
15.040,797.83,ingest,139.138,139.138
15.141,810.21,ingest,140.084,140.084
15.241,810.94,ingest,140.934,140.934
15.341,807.50,ingest,141.862,141.862
15.441,810.59,ingest,142.815,142.815
15.542,813.97,ingest,143.777,143.777
15.642,816.25,ingest,144.714,144.715
15.742,818.24,ingest,145.679,145.679
15.843,829.21,ingest,146.495,146.496
15.943,810.83,ingest,147.450,147.450
16.043,811.89,ingest,148.415,148.415
16.143,813.58,ingest,149.369,149.370
16.244,815.45,ingest,150.327,150.327
16.344,818.65,ingest,151.258,151.258
16.444,827.26,ingest,152.212,152.212
16.545,869.55,ingest,152.212,152.212
16.645,863.97,ingest,152.212,152.212
16.745,869.55,ingest,152.212,152.212
16.846,869.55,delete,152.592,152.601
16.946,855.41,delete,152.592,152.601
17.046,869.55,delete,152.592,152.601
17.146,869.55,settle,152.592,152.602
17.247,869.55,settle,152.592,152.602
17.347,869.55,settle,152.592,152.602
17.447,869.55,settle,152.592,152.602
17.548,869.55,settle,152.592,152.602
17.648,869.55,settle,152.592,152.602
17.748,869.55,settle,152.592,152.602
17.848,869.55,settle,152.592,152.602
17.949,869.55,settle,152.592,152.602
18.049,869.55,settle,152.592,152.602
18.149,869.55,settle,152.592,152.602
18.250,869.55,settle,152.592,152.602
18.350,869.55,settle,152.592,152.602
18.450,869.55,settle,152.592,152.602
18.551,869.55,settle,152.592,152.602
18.651,869.55,settle,152.592,152.602
18.751,869.55,settle,152.592,152.602
18.851,869.55,settle,152.592,152.602
18.952,869.55,settle,152.592,152.602
19.052,869.55,settle,152.592,152.602
19.152,839.86,settle,152.592,152.602
19.253,839.86,settle,152.592,152.602
19.353,839.86,settle,152.592,152.602
19.453,837.36,trimmed,152.837,152.865
19.553,837.36,trimmed,152.837,152.865
19.654,837.36,trimmed,152.837,152.865
19.754,837.36,trimmed,152.837,152.865
19.854,837.36,trimmed,152.837,152.865
19.955,837.36,trimmed,152.837,152.865
20.055,837.36,trimmed,152.837,152.865
20.155,837.36,trimmed,152.837,152.865
20.255,837.36,trimmed,152.837,152.865
20.356,837.36,trimmed,152.837,152.865
20.456,837.36,trimmed,152.837,152.865
20.556,837.36,trimmed,152.837,152.865
20.657,837.36,trimmed,152.837,152.865
20.757,901.39,trimmed,152.837,152.865
20.857,613.30,trimmed,152.837,152.865
20.957,613.30,trimmed,152.837,152.865
21.058,613.30,trimmed,152.837,152.865
21.158,645.35,trimmed,152.837,152.865
21.258,645.35,trimmed,152.837,152.865
21.359,523.80,trimmed,152.837,152.865
21.459,523.80,trimmed,152.837,152.865
21.559,0.00,closed,0.256,152.865
