t_s,rss_mb,phase,tracemalloc_cur_mb,tracemalloc_peak_mb
0.000,11.20,?,0.000,0.000
0.100,22.86,ingest,0.000,0.001
0.201,28.51,ingest,0.972,0.972
0.301,35.94,ingest,1.941,1.941
0.402,40.69,ingest,2.936,2.936
0.502,46.66,ingest,3.936,3.937
0.602,56.43,ingest,4.939,4.940
0.703,64.60,ingest,5.892,5.892
0.803,65.58,ingest,6.879,6.879
0.903,72.32,ingest,7.860,7.860
1.003,76.32,ingest,8.850,8.850
1.104,80.95,ingest,9.848,9.848
1.204,96.13,ingest,10.864,10.864
1.305,110.85,ingest,11.743,11.743
1.405,111.80,ingest,12.657,12.657
1.505,112.80,ingest,13.600,13.600
1.605,113.77,ingest,14.588,14.588
1.706,122.93,ingest,15.547,15.547
1.806,126.66,ingest,16.463,16.463
1.906,130.62,ingest,17.394,17.394
2.006,140.71,ingest,18.305,18.306
2.107,141.73,ingest,19.278,19.278
2.207,142.70,ingest,20.282,20.282
2.307,145.86,ingest,21.246,21.246
2.408,173.05,ingest,22.225,22.225
2.508,177.04,ingest,23.020,23.020
2.608,203.88,ingest,24.006,24.006
2.708,204.87,ingest,24.810,24.810
2.809,205.82,ingest,25.779,25.779
2.909,206.81,ingest,26.733,26.733
3.009,207.78,ingest,27.721,27.721
3.109,208.77,ingest,28.684,28.684
3.210,209.77,ingest,29.671,29.671
3.310,235.06,ingest,30.513,30.514
3.410,251.94,ingest,31.515,31.515
3.511,252.95,ingest,32.388,32.388
3.611,253.95,ingest,33.392,33.392
3.711,254.94,ingest,34.365,34.365
3.811,255.93,ingest,35.366,35.367
3.912,273.36,ingest,36.350,36.350
4.012,274.38,ingest,37.084,37.084
4.112,275.37,ingest,38.040,38.040
4.213,276.36,ingest,39.028,39.028
4.313,277.34,ingest,40.004,40.004
4.413,278.31,ingest,40.983,40.983
4.513,279.26,ingest,41.953,41.953
4.614,290.73,ingest,42.721,42.721
4.714,291.74,ingest,43.710,43.710
4.814,340.37,ingest,44.694,44.694
4.915,341.39,ingest,45.344,45.344
5.015,342.38,ingest,46.365,46.365
5.115,343.32,ingest,47.330,47.331
5.215,358.26,ingest,48.258,48.258
5.316,366.38,ingest,48.872,48.872
5.416,367.36,ingest,49.877,49.877
5.516,368.37,ingest,50.844,50.844
5.616,369.37,ingest,51.852,51.852
5.717,370.37,ingest,52.833,52.834
5.817,371.35,ingest,53.820,53.820
5.917,393.23,ingest,54.812,54.812
6.017,394.24,ingest,55.433,55.433
6.117,395.24,ingest,56.433,56.433
6.218,396.24,ingest,57.422,57.423
6.318,397.24,ingest,58.423,58.423
6.418,398.26,ingest,59.422,59.422
6.519,426.58,ingest,60.434,60.435
6.619,421.27,ingest,61.033,61.033
6.719,422.28,ingest,62.008,62.008
6.819,423.29,ingest,63.014,63.014
6.920,456.09,ingest,64.002,64.003
7.020,457.11,ingest,65.015,65.015
7.120,458.11,ingest,66.022,66.022
7.220,479.98,ingest,67.018,67.018
7.321,481.00,ingest,67.566,67.566
7.421,482.01,ingest,68.573,68.573
7.521,482.98,ingest,69.544,69.544
7.622,484.00,ingest,70.540,70.540
7.722,485.00,ingest,71.537,71.538
7.822,486.02,ingest,72.546,72.546
7.923,486.98,ingest,73.505,73.505
8.023,488.00,ingest,74.517,74.517
8.123,489.01,ingest,75.514,75.514
8.223,490.03,ingest,76.528,76.528
8.324,491.04,ingest,77.539,77.539
8.424,494.78,ingest,78.541,78.541
8.524,512.93,ingest,79.443,79.443
8.624,513.93,ingest,80.445,80.445
8.725,514.92,ingest,81.433,81.433
8.825,515.92,ingest,82.417,82.417
8.925,516.92,ingest,83.409,83.409
9.026,518.13,ingest,84.401,84.401
9.126,543.21,ingest,85.395,85.395
9.226,544.23,ingest,86.211,86.212
9.326,545.24,ingest,87.207,87.207
9.426,546.24,ingest,88.209,88.209
9.527,620.52,ingest,89.172,89.172
9.627,643.53,ingest,89.599,89.599
9.727,644.54,ingest,90.582,90.582
9.828,691.58,ingest,91.552,91.553
9.928,692.20,ingest,91.552,91.553
10.028,692.20,delete,91.553,91.562
10.128,692.20,delete,91.553,91.562
10.229,692.20,delete_done,91.552,91.563
10.329,692.20,settle,91.553,91.563
10.430,692.20,settle,91.553,91.563
10.530,692.20,settle,91.553,91.563
10.630,692.20,settle,91.553,91.563
10.731,692.20,settle,91.553,91.563
10.831,692.20,settle,91.553,91.563
10.932,692.20,settle,91.553,91.563
11.032,692.20,settle,91.554,91.563
11.133,692.20,settle,91.554,91.563
11.233,692.20,settle,91.554,91.563
11.333,692.20,settle,91.554,91.563
11.434,692.20,settle,91.554,91.563
11.534,692.20,settle,91.554,91.564
11.634,692.20,settle,91.554,91.564
11.735,692.20,settle,91.554,91.564
11.835,692.20,settle,91.554,91.564
11.935,692.20,settle,91.554,91.564
12.036,692.20,settle,91.554,91.564
12.136,692.20,settle,91.554,91.564
12.236,655.07,settle,91.554,91.564
12.336,663.69,settle,91.554,91.564
12.437,626.79,trimmed,91.799,91.827
12.537,457.54,trimmed,91.799,91.827
12.637,457.54,trimmed,91.799,91.827
12.737,457.54,trimmed,91.799,91.827
12.838,457.54,trimmed,91.799,91.827
12.938,457.54,trimmed,91.799,91.827
13.038,457.54,trimmed,91.799,91.827
13.138,457.54,trimmed,91.799,91.827
13.238,457.54,trimmed,91.799,91.827
13.339,457.54,trimmed,91.799,91.827
13.439,457.54,trimmed,91.799,91.827
13.539,457.54,trimmed,91.799,91.827
13.639,457.54,trimmed,91.799,91.827
13.740,457.54,trimmed,91.799,91.827
13.840,425.54,trimmed,91.799,91.827
13.940,425.54,trimmed,91.799,91.827
14.040,425.54,trimmed,91.799,91.827
14.141,409.54,trimmed,91.799,91.827
14.241,417.54,trimmed,91.799,91.827
14.341,0.00,closed,0.254,91.827
